llm_model_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
meta-llama/llama-3.1-70b,4,8,256,0,10,177,0,128379111,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,178,0,128440063,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,179,0,128497730,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,180,0,128558254,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,181,0,128619824,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,182,0,128680344,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,183,0,128741829,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,184,0,128802169,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,185,0,128862719,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,186,0,128933967,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,187,0,128992918,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,188,0,129063303,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,189,0,129120314,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,190,0,129181067,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,191,0,129242703,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,192,0,129302885,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,193,0,129363530,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,194,0,129424872,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,195,0,129485704,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,196,0,129557953,8,22,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,197,0,129618873,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,198,0,129680572,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,199,0,129739712,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,200,0,129799090,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,201,0,129860094,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,202,0,129920847,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,203,0,129982297,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,204,0,130058228,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,205,0,130119892,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,206,0,130185002,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,207,0,130246073,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,208,0,130307326,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,209,0,130366012,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,210,0,130426728,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,211,0,130487794,8,0,8,0,0,0
