llm_model_name,dataset_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,request_guid,is_warmup_request,timestamp,decoding_step_idx
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,64009377,9
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,64009377,27
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,64009377,23
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,64009377,19
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,64081913,14
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,64081913,10
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,64081913,28
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,64081913,24
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,64081914,20
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,64158558,15
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,64158558,11
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,64158558,29
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,64162341,25
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,64162341,21
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,64244476,16
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,64244476,12
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,64244476,26
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,64244477,22
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,64334012,17
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,64334013,13
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,64334013,27
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,64334013,23
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,64429895,18
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,64429895,14
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,64429896,28
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,64429896,24
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,64530875,19
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,64530876,15
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,64530876,29
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,64537973,25
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,64646435,20
